"ID","VENDA_ID","PRODUTO_ID","VALOR","QUANTIDADE"
"1","3966540","5663","11.31","1.000"
"2","3966540","51610","21.96","4.000"
"3","3966540","2156","9.21","1.000"
"4","3971036","1568","18.9","10.000"
"5","3971036","1569","20.79","11.000"
"6","3971036","2475","7.38","6.000"
"7","3971036","54669","11.49","1.000"
"8","3971036","2156","9.21","1.000"
"9","3973692","65781","19.08","3.000"
"10","3973692","2156","9.21","1.000"
"11","3976647","60663","11.82","3.000"
"12","3976738","30824","23.5","1.000"
"13","3976738","65324","18.91","1.000"
"14","3978424","64257","4.86","3.000"
"15","3978424","22681","10.98","2.000"
"16","3978424","2475","7.38","6.000"
"17","3979238","2040","0","2.000"
"18","3979238","50032","14.16","1.000"
"19","3979238","50033","14.16","1.000"
"20","3979238","22681","5.49","1.000"
"21","3980600","447","9.49","1.000"
"22","3980600","54534","20.12","2.000"
"23","3980600","59215","19.86","1.000"
"24","3980600","65324","18.91","1.000"
"25","3980600","2156","18.42","2.000"
"26","3981477","64231","23.66","1.000"
"27","3983610","65324","18.91","1.000"
"28","3984006","2156","9.21","1.000"
"29","3984006","60663","3.94","1.000"
"30","3987719","707","18.8","2.000"
"31","3989670","2156","9.21","1.000"
"32","3989670","66197","3.22","2.000"
"33","3989670","22681","5.49","1.000"
"34","3991746","1569","24.57","13.000"
"35","3991746","1568","24.57","13.000"
"36","3992191","5663","22.62","2.000"
"37","3992191","14610","7.02","1.000"
"38","3993373","38353","31.91","1.000"
"39","3993373","2040","0","2.000"
"40","3994929","707","18.8","2.000"
"41","3996380","60852","15.39","1.000"
"42","3998760","66197","4.83","3.000"
"43","3998760","2475","7.64","6.000"
"44","4001825","64255","2.88","2.000"
"45","4001825","2475","3.82","3.000"
"46","4001825","1629","26.74","8.000"
"47","4005830","44036","12.59","1.000"
"48","4005830","44037","12.54","1.000"
"49","4005830","59113","9.42","6.000"
"50","4005830","1532","3.51","1.000"
"51","4005830","52110","10.02","1.000"
"52","4005830","27780","13.03","1.000"
"53","4005830","66294","8.46","1.000"
"54","4005830","48947","16.53","1.000"
"55","4006602","66197","6.44","4.000"
"56","4006602","64231","23.66","1.000"
"57","4006602","45894","7.21","1.000"
"58","4007943","29160","23.5","1.000"
"59","4007943","65804","18.9","1.000"
"60","4007943","2040","18.42","2.000"
"61","4009140","63731","3.09","1.000"
"62","4009140","64122","3.09","1.000"
"63","4009140","60663","3.94","1.000"
"64","4010241","64231","16.63","1.000"
"65","4010241","2041","9.21","1.000"
"66","4010241","2040","9.21","1.000"
"67","4010241","64353","5.03","1.000"
"68","4010244","64231","33.26","2.000"
"69","4010256","64231","16.63","1.000"
"70","4010257","64231","16.63","1.000"
"71","4011062","64231","16.63","1.000"
"72","4011062","2156","9.21","1.000"
"73","4013258","64231","16.63","1.000"
"74","4014604","706","9.4","1.000"
"75","4014604","707","9.4","1.000"
"76","4019409","14243","23.42","24.000"
"77","4020602","65720","11.1","3.000"
"78","4024205","14243","23.42","24.000"
"79","4026958","29160","23.5","1.000"
"80","4030567","54669","12.15","1.000"
"81","4030567","60211","6.84","2.000"
"82","4030567","705","4.71","1.000"
"83","4030567","5663","11.31","1.000"
"84","4030567","14610","7.12","1.000"
"85","4030567","2475","15.28","12.000"
"86","4030567","2156","9.21","1.000"
"87","4030567","66197","3.22","2.000"
